Timestamp,Ax,Ay,Az
1774520371.444575,0.094,-0.844,2.000
1774520371.495455,-0.040,0.327,1.344
1774520371.5585284,0.019,-0.281,1.063
1774520371.6120105,-0.144,-0.079,0.763
1774520371.6692798,-0.116,-0.261,1.404
1774520371.716217,-0.089,0.229,1.011
1774520371.7793844,0.004,-0.347,0.965
1774520371.8425293,-0.024,-0.186,1.242
1774520371.8939874,0.849,0.257,-0.978
1774520371.9527855,0.002,0.287,1.617
1774520372.0098913,0.122,-0.246,0.689
1774520372.062977,-0.164,-0.128,1.042
1774520372.110624,0.176,0.231,0.616
1774520372.174891,0.220,-0.319,0.823
1774520372.2375953,0.175,-0.210,1.107
1774520372.285146,-0.085,-0.055,0.783
1774520372.3503954,-1.965,-0.080,-0.390
1774520372.397438,0.279,0.138,1.213
1774520372.4623609,-0.021,-0.061,0.849
1774520372.507419,-0.164,-0.251,1.155
1774520372.5712903,-0.531,-0.272,2.000
1774520372.618741,0.027,-0.095,1.107
1774520372.6819108,0.199,-0.215,1.072
1774520372.7299793,-0.113,-0.068,0.786
1774520372.793369,0.219,-0.528,1.020
1774520372.8581278,-0.012,0.110,1.046
1774520372.9060836,0.016,-0.335,1.196
1774520372.9691353,-0.022,-0.001,0.850
1774520373.0252008,-0.119,-0.378,1.310
1774520373.0791228,0.169,-0.156,0.938
1774520373.1372316,0.118,-0.350,1.079
1774520373.19037,0.165,-0.230,0.977
1774520373.25405,-0.272,0.017,0.424
1774520373.30086,0.285,0.254,-0.129
1774520373.366175,0.030,-0.033,0.882
1774520373.4105752,0.096,-0.240,1.159
1774520373.473871,-0.220,-0.038,0.816
1774520373.5373757,-0.050,-0.319,0.928
1774520373.5847313,-0.205,0.346,1.865
1774520373.6499226,0.331,-0.332,0.715
1774520373.6955876,-0.129,-0.032,0.775
1774520373.7630246,0.394,-0.061,0.665
1774520373.8058045,0.774,-0.662,2.000
1774520373.875288,-0.128,0.250,1.052
1774520373.9321804,-0.106,-0.044,0.725
1774520373.9855638,0.540,-0.452,1.589
1774520374.0451655,-0.375,0.398,0.296
1774520374.089994,0.510,-0.129,0.845
1774520374.153294,0.513,-0.137,0.907
1774520374.2123168,0.564,-0.053,0.728
1774520374.2641242,-0.247,-0.193,0.240
1774520374.3280914,0.130,-0.122,0.837
1774520374.381524,-0.021,-0.366,1.269
1774520374.4412193,0.019,0.383,1.254
1774520374.490298,-0.366,0.277,1.276
1774520374.552505,-0.027,-0.208,1.246
1774520374.5962536,-0.016,0.000,1.085
1774520374.6617014,-0.008,-0.021,1.078
1774520374.718937,-0.092,-0.034,1.199
1774520374.7703326,-0.006,-0.192,1.122
1774520374.8352423,0.049,0.055,1.108
1774520374.8814125,0.367,-0.273,1.205
1774520374.9452944,0.193,-0.206,0.541
1774520374.992165,-0.790,0.441,0.404
1774520375.0554516,0.066,-0.083,1.233
1774520375.1032796,0.379,-0.464,0.794
1774520375.1663747,-0.074,0.010,0.635
1774520375.214053,0.009,-0.302,0.490
1774520375.2777734,-0.147,-0.014,1.095
1774520375.3409092,0.097,-0.390,0.992
1774520375.3884194,0.068,-0.188,0.922
1774520375.452359,-0.016,0.026,0.400
1774520375.5115438,-0.162,-0.043,1.418
1774520375.5692122,-0.167,0.075,1.427
1774520375.6102114,-0.006,-0.001,1.021
1774520375.6799538,-0.171,-0.073,1.061
1774520375.7356923,-0.021,-0.097,1.140
1774520375.7832916,0.171,-0.092,0.857
1774520375.8509564,0.154,-0.188,0.969
1774520375.908084,0.026,-0.114,0.813
1774520375.9569376,0.178,-0.007,0.984
1774520376.0211453,0.057,0.044,1.165
1774520376.0680008,0.150,-0.198,0.783
1774520376.1322951,0.083,-0.147,0.905
1774520376.1784623,-0.081,-0.118,0.791
1774520376.2424102,0.020,-0.031,1.220
1774520376.2889845,0.062,-0.096,0.778
1774520376.3592331,0.170,-0.070,1.030
1774520376.4164913,0.026,-0.082,0.721
1774520376.4630535,0.471,0.166,0.233
1774520376.5282176,-0.037,0.011,1.034
1774520376.5740736,-0.011,0.015,1.087
1774520376.6412292,0.012,-0.011,1.060
1774520376.6850526,-0.017,0.002,1.101
1774520376.7482653,0.146,0.004,1.063
1774520376.7956498,0.116,-0.290,1.118
1774520376.8647194,-0.112,-0.033,0.769
1774520376.9222147,-0.471,-0.255,1.406
1774520376.975506,0.126,0.293,1.370
1774520377.0325935,0.091,-0.333,0.612
1774520377.0807495,-0.110,-0.122,1.146
1774520377.1461327,0.094,-0.229,0.848
1774520377.1911457,0.078,-0.046,1.068
1774520377.2567286,-0.015,0.147,1.180
1774520377.3021398,0.298,0.301,1.660
1774520377.3682144,0.278,1.561,-0.227
1774520377.4284165,0.290,-0.393,0.002
1774520377.4759781,-0.010,-0.006,1.089
1774520377.5402167,0.020,0.006,1.049
1774520377.5937192,0.014,-0.003,1.085
1774520377.6521933,0.002,-0.008,1.087
1774520377.6977847,0.020,-0.663,1.089
1774520377.7614634,-0.028,0.235,1.100
1774520377.8090506,-0.067,-0.345,0.915
1774520377.8741636,0.037,-0.116,0.903
1774520377.919905,0.014,-0.286,0.661
1774520377.9833245,-0.044,-0.234,1.399
1774520378.0462627,-0.158,0.208,1.076
1774520378.101183,0.079,-0.199,1.108
1774520378.1564748,0.009,-0.146,0.438
1774520378.2036326,0.146,-0.174,1.463
1774520378.2677546,-0.060,0.288,1.128
1774520378.315761,0.095,-0.202,0.967
1774520378.3792276,-0.096,-0.168,0.690
1774520378.4431772,-0.009,-0.001,0.258
1774520378.4903607,0.151,0.022,1.345
1774520378.5552328,0.078,-0.228,0.827
1774520378.6102026,-0.069,-0.161,0.930
1774520378.6667721,1.137,0.163,-2.000
1774520378.713408,0.282,0.179,1.331
1774520378.7766428,0.219,-0.420,0.923
1774520378.8239563,-0.190,-0.102,0.903
1774520378.8931375,-0.052,-0.325,0.817
1774520378.9473188,0.021,-0.285,0.755
1774520378.9982538,0.019,0.002,1.075
1774520379.0617342,0.107,-0.235,1.054
1774520379.1090019,-0.008,-0.128,0.781
1774520379.1741998,0.735,0.387,-1.652
1774520379.2203498,0.181,0.393,1.332
1774520379.2844648,0.265,-0.571,0.994
1774520379.3392553,-0.143,-0.116,0.948
1774520379.3929286,-0.682,0.388,0.778
1774520379.4561267,0.061,0.223,1.163
1774520379.5037456,0.100,0.400,1.224
1774520379.5514977,0.141,-0.269,0.986
1774520379.6206172,-0.181,-0.039,0.646
1774520379.6766272,-0.079,-0.399,0.607
1774520379.734328,0.053,-0.554,1.026
1774520379.7876112,-0.020,0.049,1.136
1774520379.835506,0.184,-0.291,1.193
1774520379.9056547,-0.153,-0.132,0.734
1774520379.9632306,0.680,0.813,-2.000
1774520380.0105805,0.209,0.609,1.661
1774520380.0753448,0.117,-0.537,0.868
1774520380.1293075,-0.109,-0.096,0.834
1774520380.1855927,-0.080,-0.295,1.075
1774520380.243941,0.248,0.146,-0.453
1774520380.2983441,-0.034,0.289,1.150
1774520380.3490574,0.250,-0.609,1.087
1774520380.4123068,-0.180,0.042,0.555
1774520380.4698508,-0.260,-0.291,1.082
1774520380.5188375,-0.211,-0.116,1.404
1774520380.5823119,0.004,-0.014,1.132
1774520380.6301029,0.437,-0.522,1.040
1774520380.696313,-0.221,0.068,0.387
1774520380.7520063,-0.001,-0.590,1.132
1774520380.8039095,0.130,0.276,1.114
1774520380.8516462,0.085,-0.425,0.949
1774520380.914952,0.022,-0.166,1.052
1774520380.975974,-0.145,-0.236,0.792
1774520381.0313983,-0.157,0.301,-0.946
1774520381.0893312,0.043,0.000,0.954
1774520381.1367292,0.078,0.007,1.088
1774520381.2001233,0.023,-0.017,1.089
1774520381.2549622,-0.012,-0.030,1.088
1774520381.3100595,0.064,0.095,1.042
1774520381.357264,0.093,-0.091,1.057
1774520381.4206517,0.166,-0.428,1.167
1774520381.4813318,-0.161,0.028,0.262
1774520381.531263,0.127,-0.423,0.802
1774520381.5963538,-0.123,-0.055,1.818
1774520381.6422436,0.049,0.119,1.085
1774520381.7059648,0.241,-0.428,0.865
1774520381.761621,-0.231,-0.017,0.772
1774520381.8177252,-0.039,-0.344,1.011
1774520381.8763075,0.038,0.009,0.909
1774520381.932221,0.185,-0.066,1.101
1774520381.9756806,-0.027,-0.230,1.115
1774520382.0386567,0.005,-0.170,0.876
1774520382.102766,-0.082,-0.685,1.113
1774520382.149284,-0.020,-0.133,1.067
1774520382.212494,0.252,0.049,1.190
1774520382.26863,-0.106,-0.196,1.133
1774520382.324158,0.099,-0.094,0.376
1774520382.384869,0.021,-0.503,0.776
1774520382.432852,-0.245,-0.062,1.478
1774520382.4963782,-0.165,0.041,1.282
1774520382.543584,-0.078,-0.021,1.133
1774520382.608659,-0.013,0.027,1.086
1774520382.6545496,-0.049,-0.229,1.131
1774520382.7188687,-0.037,0.071,1.089
1774520382.7656796,-0.127,0.245,1.231
1774520382.8292468,0.076,-0.610,1.002
1774520382.8921893,0.000,-0.156,0.787
1774520382.949101,-0.576,0.147,1.804
1774520383.0034146,-0.048,0.251,-0.062
1774520383.0521398,-0.163,-0.104,1.084
1774520383.1138356,0.158,-0.405,1.057
1774520383.175296,0.071,-0.151,1.093
1774520383.2313037,-0.108,-0.198,0.964
1774520383.2884579,1.436,-0.055,2.000
1774520383.3380702,-0.070,0.340,1.282
1774520383.3995972,0.240,-0.606,0.883
1774520383.4472904,-0.105,-0.212,1.050
1774520383.5103903,-0.070,0.041,0.222
1774520383.5710807,-0.400,-0.971,1.230
1774520383.6248229,-0.183,-0.106,1.163
1774520383.6841621,0.053,-0.173,1.133
1774520383.7373939,0.393,-0.441,1.091
1774520383.7952232,-0.283,0.014,0.571
1774520383.8437085,-0.043,-0.650,0.436
1774520383.9063652,0.091,-0.588,0.733
1774520383.9540982,0.072,-0.116,1.057
1774520384.0175161,0.342,-0.469,1.233
1774520384.080829,-0.209,0.040,0.466
1774520384.1284263,0.075,-0.702,0.790
1774520384.1914198,0.229,-0.297,0.806
1774520384.238649,0.040,-0.092,0.936
1774520384.3020656,0.312,-0.490,1.231
1774520384.3499787,-0.191,-0.113,0.779
1774520384.4129338,-0.095,-0.285,1.116
1774520384.4607987,0.302,0.062,-0.410
1774520384.533091,0.055,-0.102,1.213
1774520384.588061,0.161,-0.537,1.013
1774520384.633471,-0.096,-0.128,0.997
1774520384.70057,-0.012,-0.049,0.270
1774520384.744165,-0.535,-0.438,2.000
1774520384.8071573,0.077,-0.048,0.830
1774520384.8720307,0.127,0.005,0.864
1774520384.9192083,0.019,0.012,1.021
